ko	name	description	module_id	module	pathway_id	pathway	class
K16305	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16306	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01623	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01624	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11645	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16305	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16306	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	ENO, eno	enolase [EC:4.2.1.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	ENO, eno	enolase [EC:4.2.1.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	ENO, eno	enolase [EC:4.2.1.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	ENO, eno	enolase [EC:4.2.1.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00873	PK, pyk	pyruvate kinase [EC:2.7.1.40]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12406	PK, pyk	pyruvate kinase [EC:2.7.1.40]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00873	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12406	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	ENO, eno	enolase [EC:4.2.1.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	ENO, eno	enolase [EC:4.2.1.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	ENO, eno	enolase [EC:4.2.1.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	ENO, eno	enolase [EC:4.2.1.11]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00873	PK, pyk	pyruvate kinase [EC:2.7.1.40]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12406	PK, pyk	pyruvate kinase [EC:2.7.1.40]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01596	E4.1.1.32, pckA, PCK	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01610	E4.1.1.32, pckA, PCK	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01596	ENO, eno	enolase [EC:4.2.1.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01610	ENO, eno	enolase [EC:4.2.1.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01624	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11645	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01086	FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K04041	FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01086	K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K04041	K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01086	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K04041	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01086	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K04041	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01086	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K04041	PMM	phosphomannomutase [EC:5.4.2.8]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01086	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K04041	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
