ko	ko name	ko des	module	module name	map	map name	map class
K21071	pfk, pfp	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00918	pfkC	ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01624	FBA, fbaA	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11645	fbaB	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16305	K16305	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16306	K16306	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01803	TPI, tpiA	triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	gap2	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11389	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	PGAM, gpmA	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	gpmI	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	gpmB	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	apgM	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01689	ENO, eno	enolase [EC:4.2.1.11] [RN:R00658]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00873	PK, pyk	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12406	PKLR	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01803	TPI, tpiA	triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	gap2	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11389	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	PGAM, gpmA	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	gpmI	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	gpmB	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	apgM	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01689	ENO, eno	enolase [EC:4.2.1.11] [RN:R00658]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00873	PK, pyk	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12406	PKLR	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	M00002	Glycolysis, core module involving three-carbon compounds [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01596	E4.1.1.32, pckA, PCK	phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01610	E4.1.1.49, pckA	phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01689	ENO, eno	enolase [EC:4.2.1.11] [RN:R00658]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01834	PGAM, gpmA	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15633	gpmI	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15634	gpmB	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15635	apgM	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00150	gap2	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01803	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1] [RN:R01015]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01624	FBA, fbaA	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11645	fbaB	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03841	FBP, fbp	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K02446	glpX	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11532	glpX-SEBP	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01086	fbp-SEBP	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K04041	fbp3	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01622	K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01070 R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01810	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01809	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8] [RN:R01819]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K17497	PMM	phosphomannomutase [EC:5.4.2.8] [RN:R01818]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00966	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13] [RN:R00885]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K10046	GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18] [RN:R00889]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K14190	VTC2_5	galactose-1-phosphate guanylyltransferase (GDP) [RN:R07678]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K10047	VTC4	L-galactose 1-phosphate phosphatase [EC:3.1.3.93] [RN:R07674]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K18649	IMPL2	L-galactose 1-phosphate phosphatase [EC:3.1.3.93] [RN:R07674]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K17744	GalDH	L-galactose dehydrogenase [EC:1.1.1.316] [RN:R07675]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00225	GLDH	L-galactono-1,4-lactone dehydorogenase [EC:1.3.2.3] [RN:R00640]	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00163	aceE	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00161	PDHA, pdhA	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00162	PDHB, pdhB	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00382	DLD, lpd, pdhD	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K13997	PDHX	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00169	porA	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00170	porB	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00171	porD	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00172	porC, porG	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00189	vorG, porG	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K03737	por, nifJ	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01596	E4.1.1.32, pckA, PCK	phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01610	E4.1.1.49, pckA	phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01689	ENO, eno	enolase [EC:4.2.1.11] [RN:R00658]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01834	PGAM, gpmA	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K15633	gpmI	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K15634	gpmB	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K15635	apgM	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K00150	gap2	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01803	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1] [RN:R01015]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01624	FBA, fbaA	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K11645	fbaB	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K03841	FBP, fbp	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K02446	glpX	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K11532	glpX-SEBP	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01086	fbp-SEBP	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K04041	fbp3	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01622	K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01070 R04780]	M00003	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
K01647	CS, gltA	citrate synthase [EC:2.3.3.1] [RN:R00351]	M00009	Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020]	path:map00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism
